#ring [a0]              V_G                     V_E
-0.30235617993041     0.152900444999887    0.250470392762408
-0.283458918684759    0.132815190000201    0.224261617542099
-0.264561657439109    0.114381490000142    0.199702583397744
-0.245664396193458    0.097534479999922    0.176722025159732
-0.226767134947807    0.082214120000117    0.155287877951443
-0.207869873702157    0.068364105000001    0.135323272939787
-0.188972612456506    0.055931190000138    0.11678799376507
-0.170075351210856    0.0448652150003      0.099634113837136
-0.151178089965205    0.035119070000292    0.083848564661746
-0.132280828719554    0.026648184999885    0.069301309213133
-0.113383567473904    0.019410760000028    0.055994746799529
-0.094486306228253    0.013369190000049    0.043856660546779
-0.075589044982602    0.008489785000165    0.032900171045632
-0.056691783736952    0.00474059499993     0.023060778061244
-0.037794522491301    0.002092265000101    0.01430818168945
-0.01889726124565    0.000519520000125     0.006630990071268
0                    0                    -2.95001342171732E-10
0.018897261245651    0.000513365000188    -0.005552236634112
0.037794522491302    0.002041335000285    -0.010002024771592
0.056691783736952    0.00456791500028     -0.013305434537902
0.075589044982603    0.008079680000264    -0.015480034761567
0.094486306228254    0.012566164999953    -0.016506939990995
0.113383567473904    0.018019970000296    -0.016403333837759
0.132280828719555    0.02443647500013     -0.015173241206263
0.151178089965205    0.031813475000035    -0.012829803117002
0.170075351210856    0.040151030000288    -0.009372361946175
0.188972612456506    0.049451679999947    -0.004801874861445
0.207869873702157    0.059720634999849    0.000884649493115
0.226767134947807    0.070965865000289    0.007697012090159
0.245664396193458    0.083198315000118    0.015650576397854
0.264561657439109    0.096432085000288    0.024767023296352
0.283458918684759    0.110684459999902    0.035071753462628
0.30235617993041     0.125975825000296    0.046589148374185
